slice,38_SS.1,90_DD.1,96_DS.1,70_SD.1,86_DS.1,95_DS.1,25_SD.1,83_DD.1,94_DD.1,39_SS.1,35_SS.1,40_SD,63_SS,63b_SS,48_SD,30_DD,27_DD,27b_DD,61_SS,50_DS,29_DD,52_DS,52b_DS,46_SD,46b_SD,65_SS,65b_SS,54_DS,54b_DS
77,176.849,187.394,179.36,156.855,166.844,191.802,159.14,169.022,169.235,147.442,196.349,164.299,170.727,155.349,154.174,167.186,187.896,163.541,172.775,156.286,166.836,189.282,190.764,136.767,137.542,177.058,172.466,179.11,174.057
78,177.385,188.219,178.889,156.518,167.338,191.891,159.193,168.801,169.247,147.808,196.654,164.641,170.716,155.701,154.117,166.832,187.321,163.239,173.107,156.325,167.384,189.691,191.116,136.638,137.638,177.321,173.094,179.747,174.059
79,177.758,188.739,178.363,156.192,167.646,192.002,159.421,168.933,168.868,148.381,197.265,165.247,170.498,156.553,154.025,166.738,186.764,163.439,173.462,156.208,167.922,189.754,191.246,136.815,137.931,177.673,173.322,180.163,174.04
80,178.2,189.66,177.58,156.379,167.877,192.286,159.761,169.227,168.558,148.975,198.294,165.878,170.554,157.119,153.885,166.831,186.795,163.624,173.845,156.007,168.255,190.101,191.099,136.993,138.222,177.979,173.292,180.876,173.721
81,178.475,190.516,176.986,156.934,168.044,192.477,159.98,169.48,168.669,149.188,199.366,166.689,170.938,157.406,153.71,166.732,186.743,163.806,173.943,156.02,168.612,190.4,190.838,137.323,138.632,178.195,173.347,181.552,173.557
82,178.495,191.252,176.805,157.427,168.247,192.481,160.526,169.815,169.121,149.587,200.675,167.949,171.17,157.384,153.865,167.032,186.609,164.438,173.772,156.241,168.499,190.598,191.022,137.839,139.382,178.192,173.228,182.464,173.56
83,178.409,191.884,176.317,157.793,168.134,192.684,160.816,170.128,169.682,150.031,201.649,169.337,171.59,156.855,153.956,167.273,186.422,165.376,173.675,156.326,168.229,190.997,191.231,138.611,140.31,177.681,173.556,183.103,173.592
84,178.472,192.448,175.564,158.282,167.783,192.677,161.207,170.473,169.889,150.383,202.418,170.725,172.379,156.312,153.858,167.581,186.076,165.84,173.76,156.24,168.309,191.048,191.399,139.38,141.075,177.221,174.026,183.721,173.836
85,178.302,192.657,175.106,158.988,167.42,192.705,161.16,170.692,170.205,150.396,202.953,172.114,173.21,155.717,153.655,168.32,185.76,165.995,173.851,156.18,168.722,191.302,191.204,140.12,141.627,176.919,174.681,183.861,174.386
86,178.015,192.553,174.437,159.596,167.076,192.542,161.322,170.615,170.589,150.467,203.01,172.829,174.195,155.203,153.598,168.922,185.682,165.812,173.919,156.095,169.512,191.92,191.219,141.05,142.005,176.914,175.1,183.618,174.741
87,177.683,192.221,173.71,160.101,166.575,192.282,161.994,170.698,171.07,150.608,202.834,173.086,175.289,154.805,153.528,169.602,185.097,165.814,174.105,155.99,170.232,192.222,191.482,141.984,142.178,177.357,175.33,183.41,174.923
88,177.401,191.851,173.616,160.92,166.541,191.935,162.866,170.302,170.984,150.698,202.564,173.142,176.423,154.694,153.687,170.2,184.477,165.874,174.188,155.924,171.012,192.432,191.825,142.95,142.328,177.752,175.145,183.528,174.939
89,177.207,191.68,173.353,161.846,166.257,191.541,163.398,170.153,170.896,150.727,201.945,173.446,177.168,154.531,153.657,170.608,184.266,165.75,174.19,155.917,171.674,192.423,192.392,144.027,142.622,178.239,175.086,183.798,174.771
90,177.025,191.541,173.279,162.638,165.768,190.977,164.088,170.301,170.916,150.926,201.509,173.423,177.825,154.497,153.767,171.109,184.012,165.578,174.186,155.769,171.966,192.247,193.143,144.697,143.088,178.653,175.228,184.143,174.704
